id,parent_id,position,step_name,step_desc,organism,sop_url,duration_in_days,part_of_service,comments,success_rate,created,last_modified
1,0,1,* Select host and product,NULL,NULL,NULL,NULL,NULL,NA,NULL,2018-11-14T14:13:12Z,NULL
2,1,1,** Obtain relevant data for product,NULL,NULL,NULL,NULL,NULL,J-L: QSAR (prediction of properties from structure).,NULL,2018-11-14T14:13:12Z,NULL
3,2,1,"*** Obtain physicochemical data (Toxicity, Solubility, InChI,…) for product",NULL,NULL,NULL,NULL,NULL,NA,NULL,2018-11-14T14:13:12Z,NULL
4,2,2,*** Estimate product toxicity for chassis,NA,NULL,NA,NULL,NULL,"@Jean-Loup has a tool for toxicity estimation, training data available only for E. coli. For WP7, it is also important to know where the toxicity database is, what kind of access rights etc.",NULL,2018-11-14T14:13:12Z,NULL
5,1,2,** Obtain relevant data for host,NULL,NULL,NULL,NULL,NULL,"Comments: In principle, most of the design pipeline needs to have been executed for the selection of a good host for a selected product.",NULL,2018-11-14T14:13:12Z,NULL
6,5,1,*** Genetic  tools,NULL,NULL,NULL,NULL,NULL,NA,NULL,2018-11-14T14:13:12Z,NULL
7,5,2,*** Genome sequence,NULL,NULL,NULL,NULL,NULL,NA,NULL,2018-11-14T14:13:12Z,NULL
8,5,3,*** Genome-scale metabolic model (GEM),NULL,NULL,NULL,NULL,NULL,Strain specific GEMs may be needed for some organisms,NULL,2018-11-14T14:13:12Z,NULL
9,5,4,"*** Collect relevant available (bibliographic, experimental) data (candidate ‘sink’ metabolites)",NULL,NULL,NULL,NULL,NULL,NA,NULL,2018-11-14T14:13:12Z,NULL
10,5,5,*** Physiological constraints,NULL,NULL,NULL,NULL,NULL,NA,NULL,2018-11-14T14:13:12Z,NULL
11,10,1,**** Oxygen requirements,NULL,NULL,NULL,NULL,NULL,NA,NULL,2018-11-14T14:13:12Z,NULL
12,10,2,**** Raw material requirements,NULL,NULL,NULL,NULL,NULL,NA,NULL,2018-11-14T14:13:12Z,NULL
13,10,3,**** Estimate product toxicity for chassis,NA,NULL,NA,NULL,NULL,"@Jean-Loup has a tool for toxicity estimation, training data available only for E. coli",NULL,2018-11-14T14:13:12Z,NULL
14,5,6,*** Process constraints,NULL,NULL,NULL,NULL,NULL,NA,NULL,2018-11-14T14:13:12Z,NULL
15,1,3,** Technoeconomic constraints,NULL,NULL,NULL,NULL,NULL,NA,NULL,2018-11-14T14:13:12Z,NULL
16,15,1,*** Estimate market value of product,NULL,NULL,NULL,NULL,NULL,NA,NULL,2018-11-14T14:13:12Z,NULL
17,15,2,*** Intellectual Property (IP) constraints,NULL,NULL,NULL,NULL,NULL,NA,NULL,2018-11-14T14:13:12Z,NULL
18,15,3,*** DSP considerations,NULL,NULL,NULL,NULL,NULL,NA,NULL,2018-11-14T14:13:12Z,NULL
19,1,4,"** Chassis, substrate, pathway, and product selection",NULL,NULL,NULL,NULL,NULL,NA,NULL,2018-11-14T14:13:12Z,NULL
20,19,1,"*** Estimate economic feasibility (depends on substrate, pathway, and product)",NULL,NULL,NULL,NULL,NULL,NA,NULL,2018-11-14T14:13:12Z,NULL
21,19,2,"*** Selection of chassis, substrate, pathway, and product",NULL,NULL,NULL,NULL,NULL,NA,NULL,2018-11-14T14:13:12Z,NULL
22,0,2,* Design,NA,NULL,NA,NULL,NULL,NA,NULL,2018-11-14T14:13:12Z,NULL
23,22,1,"** Receive input from ""select host and products"" step",NA,NULL,NA,NULL,NULL,"Check that the prerequisites for Computational Strain Design are fulfilled, i.e. the input includes a SBML for the host, the SBML contains a biomass/growth objective, and that the product is specified with sufficient detail (stereochemistry, chain length, etc).",NULL,2018-11-14T14:13:12Z,NULL
331,23,1,*** Receive name of production host,NA,NULL,NA,NULL,NULL,NA,NULL,2019-01-16T11:52:18Z,2019-01-23 09:52:14
332,23,2,*** Obtain SBML models for production hosts,NA,NULL,NA,NULL,NULL,NA,NULL,2019-01-16T11:52:54Z,2019-01-23 09:53:06
333,23,3,*** Obtain annotated genomes of production hosts,NA,NULL,NA,NULL,NULL,NA,NULL,2019-01-16T11:53:42Z,2019-01-23 09:53:32
334,23,4,*** Receive name of product,NA,NULL,NA,NULL,NULL,NA,NULL,2019-01-16T11:54:11Z,NULL
24,22,2,** Receive input from #Upscale #Test-HighThroughput #Test-Bioreactor and #build,NULL,NULL,NULL,NULL,NULL,NA,NULL,2018-11-14T14:13:12Z,NULL
25,24,1,*** Physiological constraints,NULL,NULL,NULL,NULL,NULL,NA,NULL,2018-11-14T14:13:12Z,NULL
26,25,1,"**** Oxygen requirements, pH, solvent, carbon source, substrate and product toxicity, product related energetics, light, temperature",NULL,NULL,NULL,NULL,NULL,NA,NULL,2018-11-14T14:13:12Z,NULL
27,24,2,*** Process constraints.,NULL,NULL,NULL,NULL,NULL,(TODO write the steps @NTUA),NULL,2018-11-14T14:13:12Z,NULL
28,27,1,"**** Pressure, ...",NA,NULL,NA,NULL,NULL,"Product separation requirements; e.g. low pH, minimum titer, unwanted side products that significantly increase the separation cost, etc.",NULL,2018-11-14T14:13:12Z,NULL
29,22,4,** Execution of Design,NA,NULL,NA,NULL,NULL,NA,NULL,2018-11-14T14:13:12Z,2019-03-22 11:35:33
30,29,1,*** Design production strain,NA,NULL,NA,NULL,NULL,We might need to rethink this 'Design the chassis' step. Right now it is a bit chaotic and some of the steps inside it are copies of steps mentioned elsewhere. This step can be divided in two parts: 1) deletion of genes; 2) addition of genes. Both parts will contain mandatory genes and genes that could be beneficial (we need some sort of filter or quality check to distinguish between them) . These two types of genes need different follow-up steps. Who is responsible for this step? Maybe they could take a look at it?,NULL,2018-11-14T14:13:12Z,NULL
