id	parent_id	position	step_name	step_desc	organism	sop_url	duration_in_days	part_of_service	comments	success_rate	created	last_modified
1	0	1	* Select host and product	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
2	1	1	** Obtain relevant data for product	NULL	NULL	NULL	NULL	NULL	J-L: QSAR (prediction of properties from structure).	NULL	2018-11-14 14:13:12 UTC	NULL
3	2	1	*** Obtain physicochemical data (Toxicity, Solubility, InChI,…) for product	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
4	2	2	*** Estimate product toxicity for chassis		NULL		NULL	NULL	@Jean-Loup has a tool for toxicity estimation, training data available only for E. coli. For WP7, it is also important to know where the toxicity database is, what kind of access rights etc.	NULL	2018-11-14 14:13:12 UTC	NULL
5	1	2	** Obtain relevant data for host	NULL	NULL	NULL	NULL	NULL	Comments: In principle, most of the design pipeline needs to have been executed for the selection of a good host for a selected product.	NULL	2018-11-14 14:13:12 UTC	NULL
6	5	1	*** Genetic  tools	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
7	5	2	*** Genome sequence	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
8	5	3	*** Genome-scale metabolic model (GEM)	NULL	NULL	NULL	NULL	NULL	Strain specific GEMs may be needed for some organisms	NULL	2018-11-14 14:13:12 UTC	NULL
9	5	4	*** Collect relevant available (bibliographic, experimental) data (candidate ‘sink’ metabolites)	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
10	5	5	*** Physiological constraints	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
11	10	1	**** Oxygen requirements	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
12	10	2	**** Raw material requirements	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
13	10	3	**** Estimate product toxicity for chassis		NULL		NULL	NULL	@Jean-Loup has a tool for toxicity estimation, training data available only for E. coli	NULL	2018-11-14 14:13:12 UTC	NULL
14	5	6	*** Process constraints	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
15	1	3	** Technoeconomic constraints	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
16	15	1	*** Estimate market value of product	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
17	15	2	*** Intellectual Property (IP) constraints	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
18	15	3	*** DSP considerations	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
19	1	4	** Chassis, substrate, pathway, and product selection	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
20	19	1	*** Estimate economic feasibility (depends on substrate, pathway, and product)	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
21	19	2	*** Selection of chassis, substrate, pathway, and product	NULL	NULL	NULL	NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
22	0	2	* Design		NULL		NULL	NULL		NULL	2018-11-14 14:13:12 UTC	NULL
23	22	1	** Receive input from "select host and products" step		NULL		NULL	NULL	Check that the prerequisites for Computational Strain Design are fulfilled, i.e. the input includes a SBML for the host, the SBML contains a biomass/growth objective, and that the product is specified with sufficient detail (stereochemistry, chain length, etc).	NULL	2018-11-14 14:13:12 UTC	NULL
331	23	1	*** Receive name of production host		NULL		NULL	NULL		NULL	2019-01-16 11:52:18 UTC	2019-01-23 09:52:14
